NN size,Encoding rate,Encoding,Network,Decoding,Rotating,yolo,Server,Frame Rate,Confidence,Cumulative Confidence
128,25,1,3.3,0.2,0.1,7.3,7.7,76.9230769230769,"[0.702392, 0.623149, 0.924923]",2.250464
128,25,3,5,0.3,0.1,7.3,8,62.5,[0.969701],0.969701
128,25,5,5.1,1.5,0.1,10.8,12.9,41.6666666666667,[0.85212],0.85212
128,25,4,4,1.4,0.3,10.8,13,45.4545454545455,[],0
128,25,3,4.7,1,0.2,10.7,12.3,47.6190476190476,[0.984989],0.984989
128,25,4,4.2,1.9,0.1,10.8,13.8,43.4782608695652,[0.879738],0.879738
128,25,6,6.1,1.9,0.1,9,11.9,38.4615384615385,"[0.985143, 0.533584, 0.935008, 0.831255, 0.820642, 0.783401]",4.889033
128,25,4,5.5,1.2,0.1,9.5,11.5,45.4545454545455,"[0.945554, 0.913615, 0.758043, 0.750024, 0.721589, 0.585163]",4.673988
128,25,3,4.9,1.9,0.1,9.1,12.1,50,[0.955269],0.955269
128,25,7,5.2,1.5,0.1,10.3,12.8,38.4615384615385,"[0.986784, 0.553398, 0.745525]",2.285707
128,25,3,4.4,1.2,0.1,10.8,12.6,50,[0.543871],0.543871
128,25,4,5.4,1.9,0.1,9.6,12.6,43.4782608695652,[0.831673],0.831673
128,25,5,5.4,1.2,0.1,10.7,12.6,41.6666666666667,"[0.97778, 0.657488]",1.635268
128,25,7,5.8,0.3,0,9.7,10.2,43.4782608695652,[],0
128,25,4,5.6,2.1,0.2,12.3,15.4,40,[0.964557],0.964557
128,25,7,4.2,1.2,0.1,11.1,12.8,41.6666666666667,[],0
128,25,4,5,1.1,0.1,12.5,14,40,[],0
128,25,4,5.9,1.7,0.1,9.5,12.1,43.4782608695652,[],0
128,25,2,3.4,0.6,0,7.6,8.6,58.8235294117647,"[0.538008, 0.532747]",1.070755
128,25,2,5.8,1.4,0.3,11.1,13.2,43.4782608695652,"[0.967887, 0.769764, 0.850022, 0.659618]",3.247291
128,25,4,4.2,1.3,0.3,10.8,12.8,45.4545454545455,"[0.712943, 0.929624]",1.642567
128,25,3,5.6,1.2,0.1,10.8,12.4,45.4545454545455,[],0
